search_keyword,product_name,supplier_name,city,state,rating,catid,mcatid,itemid,dispid,price_numeric,price_unit,price_bucket,supplier_region
laundry washing machine,"Industrial Laundry Washing Machine, Rated Capacity: 50-100, 5.5-7.5 Kw",Ess Ell Trades,Tiruppur,Tamil Nadu,4.1,164,11370,157049789,22794131173,850000.0,,High (50k+),South
robot vacuum cleaner,Smart Cleaning Robot (10000 Sq Ft/hr),Clarion Ai Technologies Private Limited,Coimbatore,Tamil Nadu,,787,147097,312795693,2857819669573,800000.0,,High (50k+),South
laundry washing machine,"Laundry Washing Machine, Front Loading",Gowda Machinery,Bengaluru,Karnataka,4.2,164,11370,311825451,2857722645312,540000.0,,High (50k+),South
laundry washing machine,18Kg SQVM Speed Queen Front Loaded Laundry Washing Machine,Global Engineering Services,Bengaluru,Karnataka,4.3,164,11370,282413199,2854781420191,510000.0,,High (50k+),South
bakery oven,"Single Trolley Bakery Rotary Oven (18"" x 27"" Tray Size, 12 Trays)",Blueberry Bakery Machines,Coimbatore,Tamil Nadu,3.3,729,4209,285419198,2855082020088,500000.0,,High (50k+),South
laundry washing machine,Hotel Laundry Washing Machine,Prabhu Industries,Coimbatore,Tamil Nadu,3.9,164,11370,202816331,27370785155,500000.0,,High (50k+),South
laundry washing machine,SS304 Front Loading Electric Hotel Laundry Washing Machine (36-50 kg),Prabhu Washing Machine,Coimbatore,Tamil Nadu,4.4,164,11370,161639775,23253129488,475000.0,,High (50k+),South
bakery oven,"100 Kg/Hr Bakery Oven, Diesel, Number Of Deck: 2 Deck",Nevin Hitech Machines,Coimbatore,Tamil Nadu,4.2,729,4209,299446488,2856484749012,450000.0,,High (50k+),South
bakery oven,"Commercial Bakery Oven, Number Of Deck: 12 TRAY, Diesel",A S V Kitchen Equipments,Coimbatore,Tamil Nadu,4.2,729,4209,304934490,2857033549233,450000.0,,High (50k+),South
bakery oven,SK-632TG+SK-12P Base Proofer,Good Luck Bakery Machines,Ghaziabad,Uttar Pradesh,4.4,729,4209,161123903,23201542233,448800.0,,High (50k+),North
laundry washing machine,"Ipso Laundry Washing Machine, Front Loading",Washtec,Bengaluru,Karnataka,4.5,164,11370,232334039,2849773503888,400000.0,,High (50k+),South
bakery oven,"Bakery Oven, Diesel, Number Of Deck: 1 Deck",Snb Bakery Solutions,New Delhi,Delhi,4.0,729,4209,287542030,2855294303248,400000.0,,High (50k+),North
fully automatic washing machine,Smart Wash Capacity(Kg): 325000 Fully Automatic Hospital Washing Machine,Prabhu Industries,Coimbatore,Tamil Nadu,3.9,126,22211,239071074,2850447207348,365000.0,Piece,High (50k+),South
laundry washing machine,"Laundry Washing Machine, Front Loading",Stellar Fab Machines,Tiruppur,Tamil Nadu,4.2,164,11370,304654163,2857005516588,350000.0,,High (50k+),South
electric oven,Rotary Rack Oven,Omega Refrigeration Air Conditioning Engineers,Coimbatore,Tamil Nadu,3.4,126,8773,153502320,22439384248,320000.0,,High (50k+),South
